ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_d_0,O_T_EE_d_1,O_T_EE_d_2,O_T_EE_d_3,O_T_EE_d_4,O_T_EE_d_5,O_T_EE_d_6,O_T_EE_d_7,O_T_EE_d_8,O_T_EE_d_9,O_T_EE_d_10,O_T_EE_d_11,O_T_EE_d_12,O_T_EE_d_13,O_T_EE_d_14,O_T_EE_d_15,F_ext_x,F_ext_y,F_ext_z,F_ext_wx,F_ext_wy,F_ext_wz
1774903531.000000000,833062410.000000000,0.990594224,-0.109280458,0.082229025,0.000000000,-0.112242362,-0.993146405,0.032289589,0.000000000,0.078138344,-0.041216254,-0.996090166,0.000000000,0.541709435,-0.081875790,0.209691688,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.868101410,0.006191163,-1.514113484,-0.083368186,0.006685919,0.089535623
1774903531.000000000,863952159.000000000,0.990593092,-0.109283593,0.082238495,0.000000000,-0.112245920,-0.993145994,0.032289860,0.000000000,0.078147584,-0.041217841,-0.996089376,0.000000000,0.541712339,-0.081876497,0.209695038,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.868101410,0.006191163,-1.514113484,-0.083368186,0.006685919,0.089535623
1774903531.000000000,897758483.000000000,0.990594789,-0.109274570,0.082230036,0.000000000,-0.112236504,-0.993147066,0.032289632,0.000000000,0.078139588,-0.041215947,-0.996090082,0.000000000,0.541710001,-0.081872805,0.209691920,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.853618584,0.007744369,-1.512500154,-0.077256119,0.003514619,0.086064001
1774903531.000000000,932079553.000000000,0.990594911,-0.109270887,0.082233464,0.000000000,-0.112232993,-0.993147446,0.032290134,0.000000000,0.078143088,-0.041216543,-0.996089782,0.000000000,0.541711366,-0.081870056,0.209693497,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.821436440,-0.002472835,-1.489036172,-0.094686711,0.000034322,0.100516709
1774903531.000000000,966265678.000000000,0.990594172,-0.109278598,0.082232123,0.000000000,-0.112240688,-0.993146568,0.032290385,0.000000000,0.078141407,-0.041217251,-0.996089885,0.000000000,0.541710327,-0.081873745,0.209692224,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.813331017,0.004037643,-1.481970906,-0.087986200,-0.003226135,0.093484310
1774903531.000000000,999470233.000000000,0.990594684,-0.109277374,0.082227573,0.000000000,-0.112239192,-0.993146770,0.032289369,0.000000000,0.078137056,-0.041215628,-0.996090293,0.000000000,0.541709486,-0.081871373,0.209689914,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.820500385,0.031031577,-1.504017807,-0.075332264,-0.004414028,0.087760459
1774903532.000000000,33482789.000000000,0.990594075,-0.109281517,0.082229413,0.000000000,-0.112243360,-0.993146325,0.032288572,0.000000000,0.078138800,-0.041215367,-0.996090167,0.000000000,0.541709420,-0.081872770,0.209690878,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.820500385,0.031031577,-1.504017807,-0.075332264,-0.004414028,0.087760459
1774903532.000000000,68109750.000000000,0.990594461,-0.109277060,0.082230676,0.000000000,-0.112239085,-0.993146750,0.032290377,0.000000000,0.078140036,-0.041216958,-0.996090005,0.000000000,0.541710184,-0.081874462,0.209693387,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.801937883,0.039569115,-1.468698530,-0.083308972,-0.002729455,0.092912307
1774903532.000000000,101854324.000000000,0.990594492,-0.109283704,0.082221474,0.000000000,-0.112245332,-0.993146058,0.032289950,0.000000000,0.078130671,-0.041216017,-0.996090778,0.000000000,0.541707566,-0.081876940,0.209688544,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.821535455,0.052684524,-1.480343774,-0.078760266,0.000486382,0.090955585
1774903532.000000000,135796308.000000000,0.990593040,-0.109287009,0.082234575,0.000000000,-0.112249174,-0.993145629,0.032289769,0.000000000,0.078143561,-0.041217577,-0.996089702,0.000000000,0.541710262,-0.081875977,0.209693600,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.860153490,-0.029646510,-1.511967650,-0.090120141,0.005222491,0.093804949
1774903532.000000000,170122861.000000000,0.990595025,-0.109277326,0.082223531,0.000000000,-0.112239147,-0.993146705,0.032291538,0.000000000,0.078132801,-0.041217330,-0.996090557,0.000000000,0.541707304,-0.081875898,0.209689590,1.000000000,0.990466603,-0.109712960,0.083184865,0.000000000,-0.112723134,-0.993088910,0.032383001,0.000000000,0.079058654,-0.041451937,-0.996007764,0.000000000,0.541834329,-0.081914824,0.210217527,1.000000000,-0.860153490,-0.029646510,-1.511967650,-0.090120141,0.005222491,0.093804949
