ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774903391.000000000,152171373.000000000,0.994502781,-0.097891768,0.036907547,0.000000000,-0.098411511,-0.995057190,0.012534392,0.000000000,0.035498790,-0.016097925,-0.999240058,0.000000000,0.445496241,-0.002776165,0.204297583,1.000000000
1774903391.000000000,185250520.000000000,0.994509890,-0.097818959,0.036909023,0.000000000,-0.098338804,-0.995064335,0.012537766,0.000000000,0.035501105,-0.016098832,-0.999239961,0.000000000,0.445498272,-0.002746982,0.204297922,1.000000000
1774903391.000000000,219730138.000000000,0.994505529,-0.097861043,0.036914992,0.000000000,-0.098381010,-0.995060163,0.012537806,0.000000000,0.035506359,-0.016100962,-0.999239740,0.000000000,0.445498923,-0.002764850,0.204300570,1.000000000
1774903391.000000000,253608942.000000000,0.994502182,-0.097899290,0.036903729,0.000000000,-0.098418874,-0.995056498,0.012531517,0.000000000,0.035495152,-0.016094954,-0.999240235,0.000000000,0.445496283,-0.002778205,0.204295905,1.000000000
1774903391.000000000,287903308.000000000,0.994508146,-0.097836505,0.036909532,0.000000000,-0.098356309,-0.995062626,0.012536082,0.000000000,0.035501493,-0.016097831,-0.999239963,0.000000000,0.445498497,-0.002753778,0.204297380,1.000000000
1774903391.000000000,321284294.000000000,0.994507101,-0.097846148,0.036912103,0.000000000,-0.098366020,-0.995061659,0.012536678,0.000000000,0.035503836,-0.016099022,-0.999239861,0.000000000,0.445498080,-0.002755787,0.204299343,1.000000000
1774903391.000000000,355893611.000000000,0.994503335,-0.097886329,0.036907052,0.000000000,-0.098406057,-0.995057730,0.012534292,0.000000000,0.035498395,-0.016097583,-0.999240077,0.000000000,0.445496710,-0.002775880,0.204297325,1.000000000
1774903391.000000000,389430046.000000000,0.994507143,-0.097843400,0.036918276,0.000000000,-0.098363399,-0.995061908,0.012537487,0.000000000,0.035509943,-0.016100337,-0.999239622,0.000000000,0.445501315,-0.002756532,0.204301442,1.000000000
1774903391.000000000,423596143.000000000,0.994508474,-0.097833766,0.036907944,0.000000000,-0.098353590,-0.995062878,0.012537408,0.000000000,0.035499827,-0.016098897,-0.999240005,0.000000000,0.445497646,-0.002753258,0.204297243,1.000000000
1774903391.000000000,458443880.000000000,0.994503812,-0.097881192,0.036907817,0.000000000,-0.098400993,-0.995058209,0.012536066,0.000000000,0.035499064,-0.016099242,-0.999240027,0.000000000,0.445496505,-0.002774667,0.204296598,1.000000000
1774903391.000000000,491553783.000000000,0.994505940,-0.097856957,0.036914753,0.000000000,-0.098376864,-0.995060592,0.012536281,0.000000000,0.035506337,-0.016099274,-0.999239768,0.000000000,0.445498120,-0.002762023,0.204299005,1.000000000
1774903391.000000000,525468587.000000000,0.994508089,-0.097838730,0.036905150,0.000000000,-0.098358567,-0.995062367,0.012538951,0.000000000,0.035496814,-0.016100336,-0.999240089,0.000000000,0.445496569,-0.002753268,0.204296171,1.000000000
1774903391.000000000,559356451.000000000,0.994504911,-0.097870309,0.036907071,0.000000000,-0.098390049,-0.995059306,0.012534848,0.000000000,0.035498619,-0.016097566,-0.999240069,0.000000000,0.445496773,-0.002769484,0.204297206,1.000000000
1774903391.000000000,596344232.000000000,0.994505004,-0.097866671,0.036914202,0.000000000,-0.098386548,-0.995059644,0.012535523,0.000000000,0.035505706,-0.016098811,-0.999239798,0.000000000,0.445499014,-0.002766062,0.204299489,1.000000000
1774903391.000000000,630316257.000000000,0.994508073,-0.097838031,0.036907436,0.000000000,-0.098357806,-0.995062477,0.012536178,0.000000000,0.035499373,-0.016097774,-0.999240039,0.000000000,0.445497567,-0.002752665,0.204297003,1.000000000
