ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774902491.000000000,281297683.000000000,0.988335355,-0.147213453,0.038757859,0.000000000,-0.149383837,-0.986898215,0.060804018,0.000000000,0.029299457,-0.065885827,-0.997396912,0.000000000,0.340997232,-0.007601135,0.286428794,1.000000000
1774902491.000000000,315905809.000000000,0.988333965,-0.147223404,0.038755501,0.000000000,-0.149393597,-0.986896782,0.060803302,0.000000000,0.029296575,-0.065885060,-0.997397047,0.000000000,0.340996717,-0.007601448,0.286427216,1.000000000
1774902491.000000000,349387884.000000000,0.988333716,-0.147223875,0.038760065,0.000000000,-0.149394352,-0.986896701,0.060802771,0.000000000,0.029301125,-0.065885232,-0.997396902,0.000000000,0.340997780,-0.007603530,0.286429734,1.000000000
1774902491.000000000,383565902.000000000,0.988334464,-0.147218172,0.038762653,0.000000000,-0.149388800,-0.986897602,0.060801777,0.000000000,0.029304207,-0.065884466,-0.997396862,0.000000000,0.340996957,-0.007602657,0.286430096,1.000000000
1774902491.000000000,417460918.000000000,0.988335242,-0.147214963,0.038755002,0.000000000,-0.149385135,-0.986898065,0.060803266,0.000000000,0.029296650,-0.065884700,-0.997397069,0.000000000,0.340995593,-0.007601865,0.286427081,1.000000000
1774902491.000000000,453827142.000000000,0.988322909,-0.147285100,0.038803017,0.000000000,-0.149457808,-0.986888168,0.060785320,0.000000000,0.029342032,-0.065876207,-0.997396296,0.000000000,0.341007286,-0.007626263,0.286438907,1.000000000
1774902491.000000000,487439393.000000000,0.988254616,-0.147677655,0.039049597,0.000000000,-0.149859846,-0.986840092,0.060575618,0.000000000,0.029590612,-0.065717366,-0.997399430,0.000000000,0.341058816,-0.007756710,0.286482725,1.000000000
1774902491.000000000,520993947.000000000,0.988198018,-0.148029107,0.039151095,0.000000000,-0.150209371,-0.986803626,0.060303359,0.000000000,0.029708362,-0.065473782,-0.997411950,0.000000000,0.341082972,-0.007870620,0.286513648,1.000000000
1774902491.000000000,555688858.000000000,0.988181543,-0.148138236,0.039154154,0.000000000,-0.150315813,-0.986793022,0.060211592,0.000000000,0.029717979,-0.065386731,-0.997417374,0.000000000,0.341082021,-0.007911346,0.286519337,1.000000000
1774902491.000000000,589267969.000000000,0.988193929,-0.148064876,0.039119027,0.000000000,-0.150240692,-0.986803568,0.060226228,0.000000000,0.029685978,-0.065393722,-0.997417868,0.000000000,0.341076305,-0.007887483,0.286508388,1.000000000
1774902491.000000000,623050689.000000000,0.988202627,-0.148006995,0.039118327,0.000000000,-0.150183420,-0.986811110,0.060245498,0.000000000,0.029686216,-0.065410943,-0.997416732,0.000000000,0.341075284,-0.007870847,0.286507810,1.000000000
1774902491.000000000,657051801.000000000,0.988203900,-0.147998000,0.039120215,0.000000000,-0.150174632,-0.986812303,0.060247860,0.000000000,0.029688318,-0.065413294,-0.997416515,0.000000000,0.341076537,-0.007867763,0.286508814,1.000000000
1774902491.000000000,691060543.000000000,0.988203894,-0.148000295,0.039111684,0.000000000,-0.150176372,-0.986812024,0.060248106,0.000000000,0.029679713,-0.065412323,-0.997416835,0.000000000,0.341075037,-0.007869137,0.286504512,1.000000000
1774902491.000000000,725159406.000000000,0.988206868,-0.147977077,0.039124390,0.000000000,-0.150154057,-0.986815340,0.060249404,0.000000000,0.029693590,-0.065414820,-0.997416258,0.000000000,0.341077359,-0.007867164,0.286510691,1.000000000
1774902491.000000000,758821487.000000000,0.988208679,-0.147967038,0.039116622,0.000000000,-0.150143467,-0.986817069,0.060247485,0.000000000,0.029686880,-0.065411452,-0.997416679,0.000000000,0.341075920,-0.007868749,0.286508055,1.000000000
1774902491.000000000,793159246.000000000,0.988211270,-0.147950968,0.039111944,0.000000000,-0.150127170,-0.986819430,0.060249410,0.000000000,0.029683039,-0.065412171,-0.997416746,0.000000000,0.341076603,-0.007868172,0.286507542,1.000000000
